Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d4,t 5F°,2.2953e-09,1.1115e+05,6.4753e+02,2.2379e-19,3
3d4,y 5H°,1.0000e-08,1.1086e+05,8.5805e+03,0.0000e+00,2
3d4,u 3H°,2.8297e-09,1.1190e+05,4.3299e+04,1.1770e-19,3
3d4,x 3I°,6.3889e-09,1.1141e+05,1.3840e+05,5.7870e-20,3
3d4,x 5G°,1.4078e-09,1.0853e+05,1.6099e+03,5.8695e-21,5
3d4,t 5P°,1.8254e-09,1.0918e+05,8.1648e+04,3.1494e-19,2
3d4,s 3F°,2.4750e-09,9.6821e+04,4.7794e+04,5.8185e-20,3
3d4,t 3D°,5.2564e-09,1.0120e+05,2.6152e+04,3.9776e-18,2
3d4,w 3P°,7.6923e-09,9.3366e+04,,,1
3d4,w 5D°,6.6670e-05,9.5028e+04,2.6591e+04,1.3333e-08,3
3d4,w 5F°,4.0514e-09,9.0850e+04,1.3728e+05,6.9751e-19,5
3d4,w 5P°,2.9854e-08,8.6932e+04,1.0202e+03,1.5078e-19,3
3d4,y 7P°,1.8519e-09,8.3387e+04,1.8800e+04,0.0000e+00,3
3d4,y 5S°,2.5000e-09,1.0970e+05,,,1
3d4,u 5F°,1.8471e-09,1.0914e+05,1.8019e+04,1.4238e-19,5
3d4,s 3G°,5.8464e-09,1.1393e+05,2.5150e+04,8.4971e-18,3
3d4,u 5P°,1.1483e-09,1.0696e+05,8.9634e+04,2.7585e-20,2
3d4,v 5D°,2.4096e-09,1.0942e+05,2.6163e+04,4.1697e-19,4
3d4,v 5F°,1.6111e-09,1.0655e+05,6.3914e+04,4.0673e-20,5
3d44s4p,u 5D°,1.6875e-09,1.1017e+05,3.6422e+04,5.5402e-19,4
3d54p,x 3D°,4.1129e-09,8.1696e+04,2.6173e+03,1.5739e-18,2
3d54p,y 3G°,5.3382e-09,8.2240e+04,2.0728e+04,1.4300e-18,3
3d54p,w 3G°,4.1984e-09,8.5651e+04,9.5539e+03,3.4167e-18,3
3d54p,w 3H°,4.1715e-09,8.8045e+04,1.8347e+04,1.3809e-19,3
3d54p,x 1H°,1.5625e-09,8.9760e+04,,,1
3d54p,y 1I°,3.1250e-09,8.6869e+04,,,1
3d54p,y 3I°,3.8044e-09,8.5632e+04,3.3096e+04,1.2071e-20,3
3d54p,y 3H°,2.3827e-09,7.9711e+04,1.1465e+04,1.3299e-20,3
3d54p,z 1H°,4.6948e-09,7.9113e+04,,,1
3d54p,z 1I°,2.6316e-09,8.1803e+04,,,1
3d54p,z 1K°,3.7879e-09,7.9147e+04,,,1
3d54p,z 3I°,3.5130e-09,7.8300e+04,3.9281e+04,6.7388e-20,3
3d54p,z 3K°,3.7892e-09,7.7869e+04,4.4870e+03,7.4201e-21,3
3d54p,3P°,1.2500e-08,9.3868e+04,,,1
3d54p,y 1P°,3.8462e-09,9.5081e+04,,,1
3d54p,x 5P°,7.0833e-09,7.1326e+04,3.9801e+03,6.7708e-18,3
3d54p,y 3D°,6.6686e-09,7.3392e+04,3.6002e+01,5.2324e-18,3
3d54p,y 3F°,5.0946e-09,7.3750e+04,3.3322e+03,3.1687e-18,3
3d54p,y 3P°,5.7566e-09,7.5820e+04,1.9831e+04,4.8693e-19,2
3d54p,y 5D°,5.3063e-09,7.2222e+04,2.0744e+04,7.9296e-18,4
3d54p,y 5F°,4.0713e-09,7.0376e+04,4.1711e+04,7.6848e-20,5
3d55s,e 3D,4.6386e-09,1.0815e+05,1.6009e+03,1.9811e-18,3
3d55s,g 5D,4.4358e-09,1.0694e+05,1.4204e+03,1.1285e-18,4
3d54p,3F°,5.6091e-09,8.6130e+04,7.6608e+04,6.6065e-19,3
3d54p,v 3D°,6.4389e-09,8.6234e+04,3.6350e+03,5.7118e-19,3
3d54p,x 3G°,5.3435e-09,8.3907e+04,8.7160e+02,4.4503e-20,3
3d54p,x 5D°,5.0388e-09,8.2707e+04,5.2551e+03,4.5694e-18,4
3d54p,x 5F°,3.3393e-06,8.2045e+04,1.6184e+04,5.5506e-11,5
3d54p,y 5G°,5.8379e-09,8.2019e+04,3.4077e+04,1.4529e-17,5
3d54d,e 5H,1.7116e-09,1.0617e+05,2.5040e+01,2.2948e-21,5
3d54d,e 5I,1.6744e-09,1.0652e+05,3.4865e+01,9.6931e-22,5
3d54p,z 3F°,5.2617e-09,6.7815e+04,2.4627e+03,1.0024e-19,3
3d54p,z 3G°,3.5414e-09,7.0531e+04,2.0696e+02,8.2614e-19,3
3d54p,z 3H°,4.5908e-09,6.7834e+04,7.0160e+03,9.9142e-19,3
3d54p,z 5F°,2.6787e-09,6.6734e+04,2.5203e+04,3.5198e-19,5
3d54p,z 5G°,4.0141e-09,6.4499e+04,1.3664e+03,7.8399e-20,5
3d54p,z 5H°,3.5653e-09,6.5662e+04,2.1018e+04,2.7764e-20,5
3d55p,s 5F°,3.0195e-08,1.1365e+05,3.8583e+01,1.7553e-16,5
