Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2s22p2,1D,2.5614e+02,1.5316e+04,,,1
2s22p2,1S,8.5328e-01,3.2689e+04,,,1
2s22p2,3P,3.0741e+05,8.9750e+01,3.3702e+03,6.0108e+10,2
2s22p3d,1D°,3.4871e-10,1.8709e+05,,,1
2s22p3d,1F°,2.5694e-10,1.8934e+05,,,1
2s22p3d,1P°,3.7247e-10,1.9012e+05,,,1
2s22p3d,3D°,2.3073e-10,1.8746e+05,7.4156e+02,2.6655e-25,3
2s22p3d,3F°,7.7194e-09,1.8658e+05,5.0046e+03,9.7553e-19,3
2s22p3d,3P°,3.9086e-10,1.8890e+05,1.6417e+03,2.4312e-25,3
2s22p3p,1D,7.3123e-09,1.7421e+05,,,1
2s22p3p,1P,3.0857e-08,1.6461e+05,,,1
2s22p3p,1S,4.7332e-09,1.7827e+05,,,1
2s22p3p,3D,1.2698e-08,1.6659e+05,6.2629e+03,3.0429e-22,3
2s22p3p,3P,6.1353e-09,1.7062e+05,2.2355e+03,9.6119e-25,3
2s22p3p,3S,6.8709e-09,1.6889e+05,,,1
2s22p3s,1P°,2.6174e-10,1.4919e+05,,,1
2s22p3s,3P°,8.2404e-10,1.4898e+05,7.9649e+03,1.0299e-20,3
2s22p4d,1D°,7.7758e-10,2.0993e+05,,,1
2s22p4d,1F°,5.2340e-10,2.1110e+05,,,1
2s22p4d,1P°,8.4598e-10,2.1134e+05,,,1
2s22p4d,3D°,4.6649e-10,2.1027e+05,9.6377e+02,1.9849e-24,3
2s22p4d,3F°,2.4400e-08,2.0975e+05,5.6835e+03,3.1421e-21,3
2s22p4d,3P°,7.5384e-10,2.1074e+05,1.3043e+03,7.4382e-25,3
2s22p4p,1D,1.1304e-08,2.0535e+05,,,1
2s22p4p,1P,7.9168e-09,2.0217e+05,,,1
2s22p4p,1S,7.1859e-09,2.0691e+05,,,1
2s22p4p,3D,1.0553e-08,2.0278e+05,5.5884e+03,3.0304e-20,3
2s22p4p,3P,1.9125e-09,2.0320e+05,2.4850e+03,6.8269e-22,3
2s22p4p,3S,5.4607e-09,2.0354e+05,,,1
2s22p4s,1P°,1.2440e-09,1.9786e+05,,,1
2s22p4s,3P°,2.1052e-09,1.9661e+05,7.7179e+03,1.2720e-22,3
2s2p23d,5D,8.0958e-09,2.4495e+05,2.3190e+02,5.1949e-22,5
2s2p23d,5F,9.3376e-09,2.4302e+05,2.2318e+03,6.5604e-23,5
2s2p23d,5P,2.1780e-10,2.4439e+05,1.0749e+03,9.7856e-28,3
2s2p23p,3D°,1.0978e-09,2.2874e+05,2.4203e+03,2.9086e-27,3
2s2p23p,3S°,2.3067e-08,2.2307e+05,,,1
2s2p23p,5D°,1.6569e-08,2.2370e+05,3.3413e+03,1.9452e-22,5
2s2p23p,5P°,1.2814e-08,2.2563e+05,1.1791e+03,8.1731e-23,3
2s2p23p,5S°,6.3052e-09,2.2984e+05,,,1
2s2p23s,3P,5.8058e-10,2.1179e+05,1.5609e+03,5.3829e-24,3
2s2p23s,5P,9.3169e-10,2.0566e+05,4.0392e+03,2.4961e-23,3
2s2p3,1D°,3.1847e-10,1.4419e+05,,,1
2s2p3,1P°,2.2123e-10,1.6677e+05,,,1
2s2p3,3D°,2.6811e-09,9.2246e+04,6.4503e+01,4.9468e-23,3
2s2p3,3P°,7.8740e-10,1.0922e+05,1.3903e+01,3.8629e-25,3
2s2p3,3S°,9.3544e-11,1.5513e+05,,,1
2s2p3,5S°,5.6022e-03,4.6785e+04,,,1
