Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
4f35d2,4H°,8.1301e-08,2.0830e+04,,,1
4f35d2,4I°,1.0029e-07,2.1685e+04,2.0489e+06,4.7362e-17,2
4f35d2,4K°,1.9701e-07,2.1743e+04,1.3959e+06,1.7087e-15,2
4f35d6s,6H°,1.0204e-07,2.1241e+04,,,1
4f35d6s,°,8.9836e-08,2.7527e+04,2.3649e+06,4.4384e-15,3
4f46p,4H°,3.6496e-08,2.8214e+04,,,1
4f46p,4I°,2.5951e-08,3.0256e+04,3.9099e+06,1.1439e-16,4
4f46p,4K°,3.6221e-08,2.9395e+04,3.6672e+06,2.2507e-16,4
4f46p,6H°,2.1971e-08,2.7559e+04,2.5732e+06,2.9891e-17,4
4f46p,6I°,1.6931e-08,2.7424e+04,3.7206e+06,4.2242e-17,6
4f46p,6K°,1.0526e-08,2.6422e+04,6.3898e+06,3.4082e-17,6
4f46p,°,1.6131e-08,2.9115e+04,5.5537e+06,2.6374e-17,2
