Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
2s22p43d,2D,3.5747e-09,2.9331e+05,2.2330e+08,4.3041e-20,4
2s22p43d,2F,3.0652e-09,2.9367e+05,2.2618e+08,5.4401e-20,4
2s22p43d,2G,2.7663e-09,3.0536e+05,6.1827e-01,2.6351e-22,2
2s22p43d,2P,3.5957e-09,2.9355e+05,1.9280e+08,2.4397e-21,4
2s22p43p,2D°,6.4285e-09,2.6430e+05,2.2656e+08,1.8552e-18,4
2s22p43p,2F°,7.1429e-09,2.7439e+05,9.9117e+02,0.0000e+00,2
2s22p43p,2P°,5.0752e-09,2.7868e+05,5.2690e+08,9.5792e-19,6
2s22p43d,4D,2.4953e-09,2.7928e+05,1.5467e+04,1.5385e-22,4
2s22p43d,4F,2.9551e-09,2.8065e+05,1.1332e+05,1.2961e-19,4
2s22p43d,4P,2.7981e-09,2.8098e+05,4.0700e+04,1.6344e-20,3
2s22p43p,2S°,6.2383e-09,2.5280e+05,,,1
2s22p43p,4D°,5.6416e-09,2.4952e+05,1.0255e+05,7.9114e-21,4
2s22p43p,4P°,7.7258e-09,2.4640e+05,4.1193e+04,6.7713e-21,3
2s22p43p,4S°,3.8805e-09,2.5295e+05,,,1
2s22p44f,2[3]°,1.8153e-08,3.0352e+05,2.1622e+05,2.8076e-16,4
2s22p44f,2[2]°,4.9069e-08,3.0310e+05,1.2215e+05,2.3667e-16,3
2s22p44f,2[4]°,2.2721e-08,3.0330e+05,1.6191e+05,2.9450e-16,3
2s22p44f,2[1]°,2.6316e-08,3.0299e+05,,,1
2s22p44f,2[5]°,3.8314e-08,3.0294e+05,,,1
2s22p5,2P°,1.1641e+02,7.8042e+02,,,1
2s2p6,2S,1.2136e-10,2.1705e+05,,,1
