Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p63d84p,2F°,3.4507e-09,6.1235e+04,3.6167e+07,6.1582e-19,3
3p63d84s,2D,7.5740e-01,2.4416e+04,7.6905e+05,3.2289e-02,2
3p63d84s,2G,2.1513e-01,3.2512e+04,2.8824e+02,6.6982e-04,2
3p63d84p,2D°,3.3595e-09,5.8063e+04,8.2663e+05,2.5418e-20,2
3p63d84p,2G°,3.1777e-09,5.5836e+04,5.7433e+05,5.8934e-22,2
3p63d84p,4D°,3.3642e-09,5.3027e+04,1.3106e+06,4.0706e-21,4
3p63d84p,4F°,2.9787e-09,5.5619e+04,6.7506e+05,2.8197e-21,4
3p63d84p,4G°,3.0807e-09,5.4036e+04,5.8605e+05,1.8423e-20,4
3p63d84s,2F,2.7999e+00,1.4273e+04,1.0443e+06,6.8005e-03,2
3p63d84s,4F,5.2390e+01,1.0037e+04,4.4949e+05,9.2846e+02,3
3p63d84s,2P,1.1522e-01,2.9332e+04,1.3652e+05,7.0327e-06,2
3p63d84s,4P,1.4868e+01,2.4244e+04,9.6820e+05,5.0292e+02,3
3p63d9,2D,1.8051e+01,1.5069e+03,,,1
