Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5d7,"(9/2,0)°",1.0776e-08,6.2821e+04,,,1
5d7,"(9/2,1)°",5.5789e-08,6.7669e+04,6.6015e+06,4.9306e-16,3
5d7,71948°,8.3472e-09,7.1949e+04,,,1
5d7,84226°,1.1111e-07,8.4227e+04,,,1
5d7,86544°,4.0000e-08,8.6545e+04,,,1
5d76s6p,108385°,1.0753e-09,1.0839e+05,,,1
5d76s6p,85701°,1.2500e-08,8.5702e+04,,,1
5d76s6p,86786°,3.2258e-09,8.6787e+04,,,1
5d76s6p,97792°,3.8462e-09,9.7793e+04,,,1
5d86p,"(2,1/2)°",4.6642e-09,5.9332e+04,1.9227e+07,1.2240e-19,3
5d86p,"(2,3/2)°",5.0459e-09,6.6724e+04,1.4429e+07,1.6381e-17,5
5d86p,"(3,1/2)°",3.1684e-09,6.4248e+04,5.1867e+05,8.6400e-21,2
5d86p,"(3,3/2)°",2.6855e-09,7.0913e+04,4.3265e+05,1.6130e-19,4
5d86p,"(4,1/2)°",4.0196e-09,5.2642e+04,3.0434e+06,5.4119e-21,2
5d86p,"(4,3/2)°",2.8403e-09,6.1205e+04,1.0738e+05,2.2875e-19,4
5d86p,"(0,1/2)°",6.0976e-09,6.5587e+04,,,1
5d86p,"(1,1/2)°",2.9155e-09,6.9236e+04,,,1
5d86p,"(1,3/2)°",2.6357e-09,7.0379e+04,,,1
5d86s,2F,4.7393e-02,1.8098e+04,,,1
5d86s,4F,3.9991e-01,1.3089e+04,2.7860e+07,2.1089e-01,2
5d9,2D,1.1429e-01,8.4198e+03,,,1
