Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p63d2,1G,2.7541e+02,1.4261e+04,,,1
3p63d2,3F,1.5199e+02,4.8914e+03,8.5950e+03,4.7263e+03,3
3p63d2,3P,1.0663e+00,1.2110e+04,1.6671e+03,4.6626e-05,3
3p63d4d,1D,2.9412e-09,6.4367e+04,,,1
3p63d4d,1F,2.5641e-09,5.9528e+04,,,1
3p63d4d,1G,2.8571e-09,6.5236e+04,,,1
3p63d4d,1P,2.7778e-09,6.0400e+04,,,1
3p63d4d,1S,2.5641e-09,6.7217e+04,,,1
3p63d4d,3D,3.5428e-09,5.9935e+04,4.0487e+03,2.1199e-19,3
3p63d4d,3F,2.6161e-09,6.3449e+04,5.9358e+03,2.8868e-20,3
3p63d4d,3G,2.4702e-09,6.0358e+04,9.0836e+03,3.9419e-21,3
3p63d4d,3P,1.0718e-08,6.4676e+04,1.7517e+03,5.2968e-18,2
3p63d4d,3S,3.3333e-09,6.1071e+04,,,1
3p63d4p,1D°,7.5148e-09,2.6081e+04,,,1
3p63d4p,1F°,5.1086e-09,3.2350e+04,,,1
3p63d4p,1P°,8.6532e-09,3.0816e+04,,,1
3p63d4p,3D°,4.7113e-09,2.8033e+04,1.4920e+04,7.8018e-22,3
3p63d4p,3F°,6.1350e-09,2.7629e+04,4.0065e+04,1.5531e-21,3
3p63d4p,3P°,7.5580e-09,2.9767e+04,2.4009e+03,2.7894e-20,3
3p63d5s,1D,4.2373e-09,5.8252e+04,,,1
3p63d5s,3D,5.0211e-09,5.7637e+04,9.5939e+03,3.2432e-19,3
3p64p2,3P,3.8514e-09,7.6475e+04,2.6106e+04,2.6388e-18,2
3p64s4p,1P°,7.3757e-10,5.5715e+04,,,1
3p64s4p,3P°,3.7337e-09,3.9154e+04,3.0620e+04,2.6954e-21,3
