Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3p3,4S°,3.9479e-10,1.2303e+05,,,1
3s23d,2D,3.2879e-10,7.9347e+04,1.3646e+02,5.2585e-26,2
3s23p,2P°,4.7619e+03,2.8724e+02,,,1
3s24d,2D,1.1459e-09,1.0102e+05,8.4500e-01,9.9586e-22,2
3s24f,2F°,3.7175e-09,1.0356e+05,8.4500e-03,1.2666e-20,2
3s24p,2P°,9.3088e-09,8.1221e+04,1.7988e+03,6.5708e-22,2
3s24s,2S,8.8261e-10,6.5500e+04,,,1
3s25d,2D,7.4622e-09,1.1239e+05,1.2800e-02,2.6682e-17,2
3s25f,2F°,1.2701e-08,1.1376e+05,1.4450e-02,1.6032e-22,2
3s25g,2G,5.7055e-05,1.1418e+05,2.1176e-22,6.4616e-09,2
3s25p,2P°,4.8574e-08,1.0387e+05,3.0037e+02,5.8630e-19,2
3s25s,2S,2.2983e-09,9.7972e+04,,,1
3s3p3d,2P°,2.3821e-09,1.2626e+05,9.0738e+02,5.7957e-24,2
3s3p3d,4D°,3.3706e-10,1.2436e+05,3.8523e+03,5.1253e-21,4
3s3p3d,4P°,5.7173e-10,1.2461e+05,1.3297e+03,7.7851e-21,3
3s3p4p,4D,9.3091e-09,1.3195e+05,2.7176e+04,1.0204e-19,4
3s3p4s,2P°,2.4649e-09,1.2152e+05,1.0668e+04,1.6150e-22,2
3s3p4s,4P°,1.2417e-09,1.1701e+05,2.5497e+04,8.7289e-22,3
3s3p2,2D,3.6332e-07,5.5317e+04,1.2529e+02,3.9410e-16,2
3s3p2,2P,2.4411e-10,8.3903e+04,2.0465e+04,3.0006e-25,2
3s3p2,2S,1.0132e-09,7.6665e+04,,,1
3s3p2,4P,4.1923e-04,4.2955e+04,2.0484e+04,1.0633e-07,3
