Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
5p3,4S°,2.2222e-10,1.2316e+05,,,1
5s24f,2F°,3.7914e-09,8.9291e+04,1.6820e+01,1.4373e-21,2
5s25d,2D,4.8276e-10,7.1727e+04,2.0616e+05,1.8076e-21,2
5s25f,2F°,7.8973e-09,9.9664e+04,1.4306e+01,2.6963e-19,2
5s25g,2G,1.4771e-08,1.0032e+05,0.0000e+00,8.5691e-21,2
5s25p,2P°,1.4409e+00,4.2515e+03,,,1
5s26d,2D,1.4524e-09,9.0297e+04,6.0875e+03,6.2544e-21,2
5s26f,2F°,6.2500e-08,1.0536e+05,,,1
5s26g,2G,3.7037e-08,1.0574e+05,0.0000e+00,0.0000e+00,2
5s26p,2P°,1.1722e-08,7.1935e+04,3.9088e+05,1.3773e-18,2
5s26s,2S,1.1574e-09,5.6886e+04,,,1
5s27d,2D,2.6999e-09,1.0031e+05,1.5035e+03,4.9472e-20,2
5s27g,2G,7.2751e-08,1.0900e+05,0.0000e+00,3.4993e-18,2
5s27p,2P°,7.1892e-08,9.2086e+04,6.6307e+04,1.4964e-17,2
5s27s,2S,1.8308e-09,8.6280e+04,,,1
5s5p5d,2D°,5.5532e-09,1.2623e+05,1.1564e+08,8.3886e-17,3
5s5p5d,4D°,4.3478e-10,1.2025e+05,,,1
5s5p5d,4F°,1.2048e-08,1.1642e+05,,,1
5s5p5d,4P°,4.8200e-10,1.2397e+05,1.5538e+05,6.7447e-23,2
5s5p6s,4P°,1.0734e-09,1.1149e+05,6.1245e+06,3.6578e-20,3
5s5p2,2D,1.7446e-08,5.9154e+04,1.9177e+05,6.6351e-18,2
5s5p2,2P,3.7412e-10,8.1087e+04,7.9784e+05,1.1652e-20,2
5s5p2,2S,4.6577e-10,7.5954e+04,,,1
5s5p2,4P,1.7338e-06,4.8521e+04,4.5670e+06,1.3905e-12,3
