Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d,4D°,2.6316e-09,5.2339e+04,,,1
3d,4F°,5.5866e-09,5.2330e+04,,,1
3d,w 2D°,1.9345e-08,5.3576e+04,8.9363e+02,2.2613e-18,2
3d24p,y 2D°,5.3229e-09,3.9540e+04,7.9305e+03,1.3607e-18,2
3d24p,y 2F°,3.8466e-09,4.0001e+04,1.0930e+04,4.7669e-21,2
3d24p,z 2P°,4.7575e-09,3.9454e+04,9.7393e+04,1.1300e-18,2
3d24p,x 2F°,5.4762e-09,4.7546e+04,1.2530e+04,4.1006e-21,2
3d24p,y 2G°,3.5113e-09,4.3761e+04,8.0744e+02,6.9049e-20,2
3d24p,z 2H°,4.6302e-09,4.5791e+04,2.7588e+04,1.2206e-20,2
3d24s,b 2G,1.0301e+02,1.5262e+04,3.3190e+01,2.8629e+03,2
3d24d,4D,3.2776e-09,6.5460e+04,,,1
3d24d,e 2G,2.4093e-09,6.7714e+04,2.3420e+04,2.7156e-19,2
3d24d,e 2H,2.5000e-09,6.8458e+04,3.2085e+04,0.0000e+00,2
3d24d,e 4G,2.2397e-09,6.5051e+04,2.3759e+04,5.5916e-20,4
3d24d,e 4H,2.0003e-09,6.5383e+04,3.0366e+04,7.3987e-20,4
3d24d,f 2F,2.2727e-09,6.5314e+04,,,1
3d24d,f 4F,3.3276e-09,6.8913e+04,1.8674e+04,2.6428e-19,4
3d24p,z 2D°,2.7523e-08,3.1891e+04,3.6167e+04,5.7099e-18,2
3d24p,z 2F°,7.4430e-09,3.1349e+04,4.0160e+04,8.7311e-19,2
3d24p,z 2G°,4.6074e-09,3.4646e+04,2.1038e+04,9.6842e-23,2
3d24p,z 4D°,3.9622e-09,3.2650e+04,1.0711e+04,3.2397e-21,4
3d24p,z 4F°,4.0945e-09,3.1052e+04,4.0345e+04,7.6955e-24,4
3d24p,z 4G°,5.6290e-09,2.9872e+04,9.0518e+04,2.7636e-21,4
3d25s,e 2F,3.6374e-09,6.3308e+04,3.8347e+04,1.9865e-19,2
3d25s,e 4F,9.9802e-09,6.2296e+04,2.6579e+04,1.5818e-18,2
3d24p,x 2D°,4.6921e-09,4.4909e+04,7.7225e+01,8.7117e-22,2
3d24p,y 2P°,5.5436e-09,4.5511e+04,2.9243e+03,9.2553e-22,2
3d24p,y 4D°,4.3347e-09,4.0534e+04,4.1802e+04,1.9750e-20,4
3d24p,z 2S°,9.9602e-09,3.7431e+04,,,1
3d24p,z 4P°,4.8568e-09,4.2091e+04,1.1628e+04,4.8875e-21,3
3d24p,z 4S°,3.6060e-09,4.0027e+04,,,1
3d24s,b 2P,9.9505e+00,1.6571e+04,5.9741e+03,4.9015e-03,2
3d24s,b 4P,1.6508e+02,9.9428e+03,5.8774e+03,2.3976e+04,3
3d3,b 2D2,7.3773e+01,1.2694e+04,8.3740e+03,8.9455e+02,2
3d3,b 2F,5.2645e+00,2.0922e+04,1.7979e+03,1.3819e-02,2
3d4s2,c 2D,3.4934e-01,2.5077e+04,2.6860e+04,5.1323e-03,2
